RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID,XML_BATCH_ID
23332162,EFILE,010564863,202312,2025,ANIMAL LIFE SAVERS INC,990EZ,93492016016005,202500169349201600,2025_TEOS_XML_01A
23332050,EFILE,020268691,202410,2025,LANCASTER HISTORICAL SOCIETY,990EZ,93492355001144,202443559349200114,2025_TEOS_XML_01A
23332074,EFILE,546040031,202402,2025,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,990EZ,93492355003044,202443559349200304,2025_TEOS_XML_01A
23404343,EFILE,237331256,202302,2025,Commodore Perry Yacht Club,990,93493015026745,202540159349302674,2025_TEOS_XML_01A
23333727,EFILE,464667934,202212,2025,FOR WIVES ONLY A FELLOWSHIP,990EZ,93492018007085,202530189349200708,2025_TEOS_XML_01A
23332301,EFILE,760205378,202312,2025,INDIA ASSOCIATION OF SOUTHEAST TX,990EZ,93492015008225,202520159349200822,2025_TEOS_XML_01A
23334211,EFILE,203976333,202411,2025,Comunidad Cristiana en el Valle,990EZ,93492020006025,202520209349200602,2025_TEOS_XML_01A
23332453,EFILE,850874646,202312,2025,SLK COMMUNITY SERVICES INC,990EZ,93492015002425,202520159349200242,2025_TEOS_XML_01A
23332537,EFILE,541777499,202406,2025,Division for Emotional and Behavioral Health,990EZ,93492015003205,202500159349200320,2025_TEOS_XML_01A
23332659,EFILE,742465158,202309,2025,CANYON VIEW LITTLE LEAGUE INC,990EZ,93492015011255,202500159349201125,2025_TEOS_XML_01A
23404893,EFILE,770200405,202406,2025,VISIT SANTA CRUZ COUNTY,990,93493017015575,202520179349301557,2025_TEOS_XML_01A
23353917,EFILE,264489946,202312,2025,SAGE BIONETWORKS,990,93493358005034,202433589349300503,2025_TEOS_XML_01A
23332744,EFILE,461188601,202408,2025,CLARIONMODEL,990EZ,93492016009075,202520169349200907,2025_TEOS_XML_01A
23334334,EFILE,813516278,202312,2025,BACKPACK INTERNATIONAL INC,990EZ,93492018006065,202510189349200606,2025_TEOS_XML_01A
23405165,EFILE,860001142,202306,2025,American Legion Department of Arizona,990,93493021018675,202520219349301867,2025_TEOS_XML_01A
23405173,EFILE,475621862,202312,2025,OSCRE INTERNATIONAL INC,990,93493021000175,202520219349300017,2025_TEOS_XML_01A
23405209,EFILE,510226909,202410,2025,International Association of Firefighter Logan Airport Local S-2 c/oJames Thorpe,990,93493020008145,202540209349300814,2025_TEOS_XML_01A
23333139,EFILE,884239440,202408,2025,Elevate Wrestling Club,990EZ,93492015016015,202510159349201601,2025_TEOS_XML_01A
23334706,EFILE,680470989,202406,2025,LOS PERALES ELEMENTARY PTA PTA CALIFORNIA CONGRESS PARENTS TEACHERS,990EZ,93492021007265,202510219349200726,2025_TEOS_XML_01A
23333257,EFILE,813540284,202212,2025,Strengthening Opportunities Actions Resources Inc,990EZ,93492016010215,202510169349201021,2025_TEOS_XML_01A
23357847,EFILE,593109517,202406,2025,HEALTHY START COALITION OF PINELLAS INC,990,93493017000425,202520179349300042,2025_TEOS_XML_01A
23357272,EFILE,341578831,202312,2025,TOWARDS EMPLOYMENT INC,990,93493017009235,202530179349300923,2025_TEOS_XML_01A
23357180,EFILE,203642502,202406,2025,KEYHOLE TO OPPORTUNITY,990,93493017009285,202530179349300928,2025_TEOS_XML_01A
23333682,EFILE,920484520,202312,2025,MASTERS GLOBAL FINANCIAL GROUP,990EZ,93492017015055,202500179349201505,2025_TEOS_XML_01A
23333965,EFILE,880765497,202312,2025,REVENUE MANAGEMENT FOUNDATION,990EZ,93492023007305,202500239349200730,2025_TEOS_XML_01A
23333970,EFILE,471621228,202312,2025,THRIVE DELANO INC,990EZ,93492023008205,202500239349200820,2025_TEOS_XML_01A
23357287,EFILE,043762309,202406,2025,Camino de Paz Center Inc,990,93493017016835,202530179349301683,2025_TEOS_XML_01A
,EFILE,863031426,202412,2025,Tree Happy Inc,990EZ,93492022007005,202500229349200700,2025_TEOS_XML_01A
23358107,EFILE,231971629,202406,2025,EDITH RUDOLPHY RESIDENCE FOR THE BLIND,990,93493023000355,202500239349300035,2025_TEOS_XML_01A
23358395,EFILE,843614663,202406,2025,Ekklesia Contemporary Ballet Inc,990,93493021009105,202500219349300910,2025_TEOS_XML_01A
23357876,EFILE,454798543,202406,2025,HABITAT FOR HUMANITY OF KENOSHA INC,990,93493017014425,202520179349301442,2025_TEOS_XML_01A
23405053,EFILE,473655123,202212,2025,NATIONAL PHLEBOTOMY PRO NETWORK,990,93493021016055,202500219349301605,2025_TEOS_XML_01A
23356010,EFILE,470583236,202312,2025,THE BIG GARDEN,990,93493015009565,202510159349300956,2025_TEOS_XML_01A
23357561,EFILE,621613227,202408,2025,RIVERDALE BASEBALL BOOSTERS INC,990,93493017016305,202500179349301630,2025_TEOS_XML_01A
23333093,EFILE,237302549,202408,2025,MIDDLEBURY AMATEUR HOCKEY ASSOC INC,990EZ,93492015015915,202510159349201591,2025_TEOS_XML_01A
23357671,EFILE,911868360,202406,2025,HIP Housing Affordable Ventures Inc,990,93493022013655,202500229349301365,2025_TEOS_XML_01A
23357673,EFILE,521268692,202309,2025,NATIONAL DEFENSE UNIVERSITY FOUNDATION INC,990,93493022014105,202500229349301410,2025_TEOS_XML_01A
23357681,EFILE,263257298,202406,2025,COMMUNITY ARTS EXPERIENCE INC,990,93493022006355,202500229349300635,2025_TEOS_XML_01A
23359202,EFILE,721455881,202312,2025,Holmes House Child Care Center Inc,990,93493020006215,202510209349300621,2025_TEOS_XML_01A
23359268,EFILE,166052426,202411,2025,YOUNGSTOWN VOLUNTEER FIRE COMPANY INC,990,93493023010035,202530239349301003,2025_TEOS_XML_01A
23356441,EFILE,592465234,202406,2025,STAGEWORKS INC,990,93493016002195,202540169349300219,2025_TEOS_XML_01A
23359345,EFILE,860409708,202410,2025,Hospice of Yuma,990,93493023006335,202530239349300633,2025_TEOS_XML_01A
23355356,EFILE,851926893,202312,2025,LOUISIANA WOMEN LEAD,990,93493015027505,202500159349302750,2025_TEOS_XML_01A
23356825,EFILE,871858173,202406,2025,LEARNER-CENTERED COLLABORATIVE,990,93493015016735,202530159349301673,2025_TEOS_XML_01A
23358302,EFILE,050590683,202408,2025,FCD CHINESE SCHOOL INC,990,93493021007035,202530219349300703,2025_TEOS_XML_01A
